order_id,order_date,item,item_id,item_quantity,item_price,item_description,city,country,order_status
19,09/03/2025,Cinnamon Roll Protein Bar,19,19,"€33,88",Soft and chewy bar packed with protein and cinnamon flavors.,Dresden,Germany,proceed
20,08/21/2025,Classic Caesar Dressing,20,20,"€140,35",Rich and creamy Caesar dressing for salads and wraps.,Reutlingen,Germany,canceled
21,07/03/2025,Electric Wax Warmer,21,21,"€37,20",Wax warmer for creating a soothing atmosphere with fragrances.,Lübeck,Germany,canceled
22,09/10/2025,Coconut Curry Chicken,22,22,"€144,91","Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",Berlin,Germany,shipped
23,09/30/2025,Maple Oatmeal,23,23,"€41,67",Delicious maple-flavored oatmeal for a quick breakfast.,München,Germany,canceled
24,08/21/2025,Creamy Garlic Dressing,24,24,"€148,66","Rich and creamy dressing with garlic flavor, perfect for salads.",Leipzig,Germany,canceled
25,05/08/2026,Hand Crank Blender,25,25,"€38,33",Manual blender for smoothies and mixing ingredients on the go.,Mönchengladbach,Germany,shipped
26,05/15/2025,Sushi Roll Kit,26,26,"€37,10",All ingredients needed to make your own sushi,Bremen,Germany,returned
27,09/17/2025,Digital Wireless Meat Thermometer,27,27,"€73,65",Bluetooth thermometer that alerts you when your meat is done.,Leipzig,Germany,shipped
28,03/25/2026,Sweet Chili Sauce,28,28,"€96,88","A sweet and spicy sauce, great for dipping or cooking.",München,Germany,shipped
29,01/29/2025,Sweet Potato & Kale Hash,29,29,"€58,76","Savory hash made with sweet potatoes and kale, a perfect side dish.",München,Germany,shipped
30,12/20/2025,Pumpkin Spice Cookies,30,30,"€28,74",Delicious cookies flavored with pumpkin and spices.,Berlin,Germany,canceled
31,05/25/2026,Quality Chef Apron,31,31,"€129,49",Durable apron to keep clothes clean while cooking.,Braunschweig,Germany,shipped
32,10/07/2025,Herbal Tea Set,32,32,"€65,66",Assorted herbal tea bags for relaxation and wellness.,Bremen,Germany,canceled
33,01/05/2025,Field Journal,33,33,"€98,89",Durable journal for nature observations and notes.,Berlin,Germany,canceled
34,06/23/2025,Electric Stir Fry Pan,34,34,"€142,52",Large stir fry pan with non-stick surface.,Leipzig,Germany,returned
35,06/01/2025,Chocolate Fudge Brownie Mix,35,35,"€19,35",Just add water for delicious brownies.,Wuppertal,Germany,returned
36,09/11/2025,Wooden Blocks,36,36,"€22,02",Classic wooden building blocks for toddlers.,Berlin,Germany,returned
37,04/29/2025,Mini Meatballs,37,37,"€66,99",Frozen mini meatballs that are great as a snack or in pasta dishes.,Hamburg,Germany,shipped
38,11/18/2025,Weighted Jump Rope,38,38,"€146,89",Adjustable weighted jump rope for workouts.,Braunschweig,Germany,proceed
39,01/18/2025,Printed Maxi Skirt,39,39,"€53,67",A colorful printed maxi skirt for a bohemian look.,Dresden,Germany,canceled
40,10/30/2025,Handheld Vacuum,40,40,"€21,76",Cordless handheld vacuum for quick cleanups.,Dortmund,Germany,canceled
41,12/30/2025,Thyme,41,41,"€69,93","Fresh thyme, perfect for seasoning dishes.",Mülheim an der Ruhr,Germany,canceled
42,05/04/2025,Toy Building Set,42,42,"€48,84",Creative building set for kids to spark imagination.,Stuttgart Stuttgart-Mitte,Germany,returned
43,07/25/2025,Vegetable Lasagna,43,43,"€99,45","Layers of pasta, veggies, and cheese baked to perfection.",Karlsruhe,Germany,canceled
44,05/09/2026,Portable Phone Mug Holder,44,44,"€70,26",Convenient holder for drinks and phones while driving.,Remscheid,Germany,returned
45,07/15/2025,Instant Mashed Potatoes,45,45,"€60,61",Quick and easy side dish with buttery flavor.,Hamburg,Germany,shipped
46,07/29/2025,Rechargeable Hand Warmer,46,46,"€45,56",Portable rechargeable warmer for cold days.,Nürnberg,Germany,canceled
47,04/24/2025,Linen Trousers,47,47,"€52,12",Breathable linen trousers perfect for hot weather.,Mannheim,Germany,canceled
48,07/22/2025,Hummus Trio Pack,48,48,"€100,23","A variety pack of classic, roasted red pepper, and garlic hummus.",Leipzig,Germany,proceed
49,02/18/2026,Spice Rack,49,49,"€66,26",Rotating spice rack with 20 spice jars.,Frankfurt am Main,Germany,proceed
50,08/25/2025,Pumpkin Spice Latte Mix,50,50,"€144,54",Instant mix for delicious pumpkin spice lattes at home.,Berlin,Germany,canceled
51,06/18/2025,Chocolate Chip Muffins,51,51,"€21,38",Fresh baked chocolate chip muffins for breakfast.,Dillenburg,Germany,canceled
52,11/13/2025,Fruit Medley Juice,52,52,"€77,60",Refreshing juice blend made with various fresh fruits.,Chemnitz,Germany,shipped
53,05/08/2025,Sriracha Honey Glaze,53,53,"€126,53","A spicy glaze made with sriracha and honey, perfect for meats.",Stuttgart,Germany,canceled
54,04/29/2026,Toilet Paper (12 rolls),54,54,"€118,83",Soft and strong toilet paper for everyday use.,Würzburg,Germany,proceed
55,02/25/2025,Self-Cleaning Water Bottle,55,55,"€120,80",Water bottle with built-in UV-C light for self-cleaning.,Berlin,Germany,returned
56,05/30/2025,Camping Chair,56,56,"€59,93",Portable folding camping chair with cup holder.,Kassel,Germany,canceled
57,01/11/2026,Frozen Acai Bowl,57,57,"€105,07",Healthy frozen acai bowl with toppings.,Hamburg,Germany,shipped
58,03/01/2026,Electric Stool Heater,58,58,"€20,43",Heated stool cover for extra comfort during winter.,Düsseldorf,Germany,canceled
59,03/27/2026,Honey,59,59,"€64,14","Pure and natural honey, great for sweetening.",Offenbach,Germany,returned
60,05/01/2025,Pet Reflective Vest,60,60,"€132,50",Safety vest for pets during nighttime walks.,Hannover,Germany,returned
61,01/15/2025,Sweet Chili Dipping Sauce,61,61,"€136,00",A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,Würzburg,Germany,proceed
62,05/27/2026,Dog Training Whistle,62,62,"€97,62",High-frequency whistle for training your dog effectively.,Stuttgart,Germany,proceed
63,01/06/2025,Organic Black Beans,63,63,"€86,33","Versatile canned black beans, ready to add to any dish.",Karlsruhe,Germany,proceed
64,05/24/2026,Cable Knit Cardigan,64,64,"€40,03",Cozy cable knit cardigan to layer during chilly evenings.,Bremen,Germany,shipped
65,05/24/2026,Pumpkin Spice Cookies,65,65,"€51,75",Delicious cookies flavored with pumpkin and spices.,Wetzlar,Germany,shipped
66,06/02/2025,Cat Tree with Scratching Posts,66,66,"€146,56",Multi-level cat tree for play and scratching.,Osnabrück,Germany,returned
67,12/29/2025,Digital Camera,67,67,"€86,07",Compact digital camera with 20MP resolution.,Leipzig,Germany,canceled
68,05/01/2025,Garlic Breadsticks,68,68,"€87,33","Ready-to-bake garlic breadsticks, perfect with pasta dishes.",Kiel,Germany,canceled
69,03/07/2025,Electric Ice Cream Maker,69,69,"€81,20",Make delicious ice cream at home with this user-friendly machine.,Offenbach,Germany,shipped
70,02/01/2025,Herbed Chicken Breast,70,70,"€109,26","Marinated chicken breast seasoned with herbs, ready for grilling.",Leipzig,Germany,shipped
71,01/11/2025,Carrot Sticks,71,71,"€52,95","Freshly cut carrot sticks, perfect for snacking.",Kiel,Germany,proceed
72,12/21/2025,Folding Backpack Chair,72,72,"€89,59",Versatile chair that easily folds up for carrying.,Köln,Germany,shipped
73,03/18/2026,LED Desk Lamp with USB Charging Port,73,73,"€85,39",Modern lamp featuring a USB port for convenient charging.,Hamburg,Germany,returned
74,09/02/2025,Frozen Mixed Berries,74,74,"€101,11","A mix of strawberries, blueberries, and raspberries.",Karlsruhe,Germany,shipped
75,03/16/2026,Cranberry Orange Juice,75,75,"€31,15",Refreshing juice blend of cranberries and oranges.,Kiel,Germany,canceled
76,01/03/2025,Wine Glasses,76,76,"€35,68",Set of elegant wine glasses for special occasions.,Stuttgart,Germany,proceed
77,03/04/2026,Beef Stroganoff Meal Kit,77,77,"€65,15",Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,Freiburg im Breisgau,Germany,returned
78,02/28/2025,Cajun Seasoning,78,78,"€116,57",Spicy seasoning mix for all your favorite dishes.,Braunschweig,Germany,returned
79,07/24/2025,Sesame Oil,79,79,"€144,05",Nutty-scented oil for stir-fry and marinades.,Freiburg im Breisgau,Germany,returned
80,11/14/2025,Home Karaoke System,80,80,"€68,68",Complete karaoke system with microphones and speakers.,Heilbronn,Germany,returned
81,07/24/2025,Chic Jumpsuit,81,81,"€52,86",An elegant jumpsuit that can be dressed up or down.,Berlin,Germany,proceed
82,10/28/2025,Fitness Resistance Bands Set,82,82,"€101,80",Variety of bands suitable for all fitness levels.,Berlin,Germany,returned
83,10/05/2025,Indoor Plants,83,83,"€87,56",Assorted indoor plants for home decor.,Berlin,Germany,proceed
84,02/05/2026,Cold Brew Coffee Concentrate,84,84,"€98,71","Rich and smooth cold brew coffee concentrate, just add water or milk.",München,Germany,shipped
85,03/21/2026,Stick Vacuums Cleaner,85,85,"€14,79",Cordless vacuum cleaner for quick clean-ups.,Mainz,Germany,returned
86,02/22/2025,Luxury Rolling Makeup Case,86,86,"€119,60",Stylish and spacious case for makeup and beauty products.,München,Germany,proceed
87,12/11/2025,Flavored Instant Oatmeal,87,87,"€62,32",Quick oatmeal with various flavors,Nürnberg,Germany,canceled
88,05/29/2025,Cranberry Almond Cookies,88,88,"€76,86",Delicious cookies with cranberries and almonds in every bite.,Berlin,Germany,proceed
89,05/21/2025,Oven Mitts,89,89,"€123,67",Silicone oven mitts for safe handling of hot cookware.,Berlin,Germany,proceed
90,04/21/2025,Ice Cream Scoop,90,90,"€93,40",Durable scoop for perfectly shaped ice cream servings.,Offenbach,Germany,shipped
91,08/18/2025,High-Top Leather Boots,91,91,"€63,09",Durable high-top leather boots for the stylish adventurer.,Stuttgart,Germany,returned
92,05/30/2025,Pomegranate Juice,92,92,"€66,06","Fresh pomegranate juice, rich in antioxidants.",Chemnitz,Germany,returned
93,10/08/2025,Savory Breakfast Sausage,93,93,"€16,42","Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",Frankfurt am Main,Germany,shipped
94,08/05/2025,Coconut Rice,94,94,"€85,78",Fluffy rice cooked with coconut milk for a tropical twist.,Mönchengladbach,Germany,proceed
95,11/01/2025,Pistachio Ice Cream,95,95,"€61,73",Creamy pistachio-flavored ice cream with real nuts.,Hamburg Bramfeld,Germany,canceled
96,12/10/2025,Vegan Chickpea Salad,96,96,"€18,86","Healthy salad made with chickpeas, vegetables, and a lemon dressing.",Augsburg,Germany,returned
97,01/06/2025,Portable Air Pump,97,97,"€28,20",Compact pump ideal for inflating sports equipment or rafts.,Stuttgart,Germany,canceled
98,01/03/2026,Digital Alarm Clock,98,98,"€145,22",Snooze function and LED display for easy reading.,Kiel,Germany,shipped
99,04/17/2026,Fashionable Scarves Set,99,99,"€66,23",Stylish scarves to accessorize any outfit.,Berlin,Germany,returned
100,07/07/2025,Marinara Parmesan Baked Ziti,100,100,"€123,31",Ziti pasta baked with marinara and parmesan cheese,Chemnitz,Germany,proceed
101,08/28/2025,LED Flashing Pet Collar,101,101,"€104,33",Safety collar with flashing lights for pets during night walks.,Stuttgart,Germany,shipped
102,04/30/2025,Sea Salt Caramel Popcorn,102,102,"€44,25","Sweet and salty popcorn with sea salt and caramel, a tasty treat.",Frankfurt am Main,Germany,returned
103,12/31/2025,Classic BBQ Sauce,103,103,"€40,16",Smoky and sweet BBQ sauce for grilling and dipping.,München,Germany,shipped
104,12/27/2025,Spicy Snack Mix,104,104,"€144,34",A crunchy blend of nuts and pretzels with a spicy kick.,Berlin,Germany,proceed
105,11/30/2025,Sweet Corn Fritters,105,105,"€38,62",Golden-brown fritters made with sweet corn.,Mannheim,Germany,proceed
106,01/02/2025,Whole Roasted Chicken,106,106,"€111,71","Seasoned and roasted to perfection, ready to eat.",Duisburg,Germany,proceed
107,08/01/2025,Vegan Chocolate Cake Mix,107,107,"€48,32",Plant-based mix for a rich chocolate cake.,Hamburg,Germany,canceled
108,04/14/2025,Thyme,108,108,"€66,23","Fresh thyme, perfect for seasoning dishes.",Saarbrücken,Germany,canceled
109,09/22/2025,Summer Tank Dress,109,109,"€95,26","A lightweight tank dress, ideal for warm weather outings.",München,Germany,proceed
110,05/27/2025,Cauliflower Rice Stir-Fry,110,110,"€135,33",Frozen cauliflower rice blended with mixed vegetables and seasonings.,Essen,Germany,returned
111,09/22/2025,Honey Sriracha Chicken Bites,111,111,"€145,34","Frozen chicken bites coated in a honey sriracha glaze, spicy and sweet.",Berlin,Germany,returned
112,05/13/2025,Weighted Blanket for Adults,112,112,"€37,40",A calming blanket that provides gentle pressure for relaxation.,Hamburg,Germany,returned
113,09/21/2025,Blueberry Oatmeal Cups,113,113,"€52,81",Instant oatmeal cups with blueberries for an easy breakfast.,Dresden,Germany,canceled
114,01/18/2025,Collapsible Pet Dog Bowl,114,114,"€73,02",Travel-friendly dog bowl that is collapsible for easy storage.,Cottbus,Germany,shipped
115,02/05/2026,Coconut Chia Pudding,115,115,"€61,55",Creamy chia pudding made with coconut milk and topped with mango.,Düsseldorf,Germany,shipped
116,07/18/2025,Coconut Chia Pudding,116,116,"€95,46",Creamy chia pudding made with coconut milk and topped with mango.,Chemnitz,Germany,shipped
117,09/03/2025,Wireless Game Controller,117,117,"€58,74",Ergonomic wireless controller for gaming consoles.,München,Germany,shipped
118,07/02/2025,Kitchen Scale,118,118,"€147,31",Digital scale for precise cooking measurements.,Chemnitz,Germany,returned
119,05/09/2025,Organic Vanilla Bean Ice Cream,119,119,"€127,57","Creamy ice cream made with real vanilla beans, perfect for desserts.",Hanau,Germany,proceed
120,06/10/2025,Chocolate Covered Pretzels,120,120,"€143,09","Crunchy pretzels coated in rich chocolate, a sweet treat.",Dresden,Germany,returned
121,03/31/2026,Portable Campfire,121,121,"€135,50",Compact campfire for grilling and warmth during camping trips.,Berlin,Germany,shipped
122,05/11/2025,Pet Grooming Kit,122,122,"€130,04",Complete grooming kit for dogs and cats.,Dresden,Germany,shipped
123,08/31/2025,Streaming Device,123,123,"€129,03",HD streaming device for accessing popular services.,Hamburg Harvestehude,Germany,returned
124,10/01/2025,USB Flash Drive,124,124,"€57,81",32GB USB flash drive with fast data transfer speeds.,Hamburg,Germany,proceed
125,08/06/2025,Classic Leather Wallet,125,125,"€105,85",A sleek leather wallet that combines style and functionality.,Braunschweig,Germany,proceed
126,05/27/2026,Essential Oils Diffuser Necklace,126,126,"€87,18",Wearable diffuser for scenting your space and body.,Freiburg im Breisgau,Germany,proceed
127,09/16/2025,Chicken Breasts,127,127,"€113,24",Juicy and tender boneless chicken breasts.,Bremerhaven,Germany,proceed
128,06/14/2025,Italian Pasta,128,128,"€132,73","Authentic Italian pasta, perfect for a classic meal.",Augsburg,Germany,proceed
129,08/01/2025,Peach Halves (canned),129,129,"€54,80","Sweet peach halves packed in juice, great for desserts.",Braunschweig,Germany,returned
130,11/20/2025,Foldable Yoga Mat,130,130,"€78,15",Compact yoga mat that folds for easy storage and transport.,Herne,Germany,canceled
131,06/11/2025,Heat-Resistant Silicone Mat,131,131,"€131,32",Protects surfaces while baking or cooking with hot items.,Dortmund,Germany,shipped
132,07/01/2025,Vegetable Stir-Fry Sauce,132,132,"€94,78",Savory sauce for vegetable and meat stir-fries.,Kassel,Germany,canceled
133,07/02/2025,Organic Quinoa Chips,133,133,"€85,85","Light and crispy chips made from quinoa, ideal for dipping.",Düsseldorf,Germany,shipped
134,08/28/2025,Repair Tool Set for Home Improvement,134,134,"€91,45",Small toolkit with essentials for home repairs.,Saarbrücken,Germany,shipped
135,03/10/2025,Fried Rice,135,135,"€20,86","Pre-cooked vegetable fried rice, just heat and serve.",Hamburg,Germany,proceed
136,05/15/2026,Sweetened Condensed Milk,136,136,"€81,07",Rich and creamy milk perfect for baking or desserts.,Herne,Germany,canceled
137,04/22/2025,Insulated Wine Tote,137,137,"€27,30",Stylish tote to keep wine bottles chilled while traveling.,Köln,Germany,proceed
138,03/20/2025,Garlic Butter Sauce,138,138,"€42,92",A rich sauce perfect for pasta or drizzling over vegetables.,Würzburg,Germany,shipped
139,02/19/2026,Cinnamon Sugar Tortilla Chips,139,139,"€112,92","Crispy chips with a sweet twist, perfect for dipping.",Magdeburg,Germany,returned
140,11/13/2025,Vegan Tacos,140,140,"€105,68",Frozen vegan tacos filled with plant-based protein and spices.,Düsseldorf,Germany,shipped
141,02/14/2026,Greek Feta Cheese,141,141,"€81,49",Creamy and crumbly cheese for salads and dishes.,Solingen,Germany,proceed
142,10/11/2025,Vegetable Lasagna,142,142,"€88,30","Layers of pasta, veggies, and cheese baked to perfection.",Bonn,Germany,canceled
143,01/13/2026,Travel Jewelry Case,143,143,"€60,33",Portable case to organize and protect jewelry on trips.,Stuttgart Stuttgart-Mitte,Germany,canceled
144,01/01/2025,Drone,144,144,"€88,29",Beginner-friendly drone with HD camera.,Aachen,Germany,proceed
145,08/23/2025,Thai Basil Fried Rice,145,145,"€140,35",Fragrant fried rice with authentic Thai basil and veggies.,Gelsenkirchen,Germany,canceled
146,05/07/2026,Strawberry Banana Smoothie Pack,146,146,"€34,95",Frozen smoothie pack with strawberries and bananas.,Berlin,Germany,proceed
147,02/24/2025,Wireless Gaming Headset,147,147,"€66,77",Comfortable headset with surround sound for immersive gaming.,Mönchengladbach,Germany,proceed
148,09/19/2025,Solar String Lights,148,148,"€85,76",Eco-friendly string lights for outdoor decor.,Dortmund,Germany,returned
149,10/26/2025,Fresh Basil,149,149,"€75,12","Aromatic fresh basil, perfect for Italian cooking.",Kiel,Germany,canceled
150,05/06/2026,Sparkling Blood Orange Soda,150,150,"€21,90",A refreshing sparkling beverage with a bold blood orange flavor.,Heilbronn,Germany,canceled
151,01/02/2026,Peach Halves (canned),151,151,"€94,02","Sweet peach halves packed in juice, great for desserts.",Hamburg Winterhude,Germany,proceed
152,10/24/2025,Honey Garlic Chicken,152,152,"€111,58",Tender chicken coated in a sweet and savory honey garlic sauce.,Kassel,Germany,proceed
153,01/14/2026,Electric Rice Cooker,153,153,"€137,57",Multi-function rice cooker for all types of rice recipes.,Berlin,Germany,returned
154,09/01/2025,Kids' Educational Tablet,154,154,"€31,63",Learning tablet with kid-friendly educational apps.,Hamburg,Germany,canceled
155,02/07/2025,Personal Blender with Travel Lid,155,155,"€62,11",Blender designed for smoothies and shakes on the go.,Braunschweig,Germany,returned
156,08/21/2025,Spinach and Feta Stuffed Chicken Breast,156,156,"€64,63","Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",Berlin,Germany,proceed
157,04/17/2025,Spinach and Feta Stuffed Chicken Breast,157,157,"€51,95","Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",Hamburg,Germany,canceled
158,11/22/2025,Organic Spinach,158,158,"€67,62","Fresh organic spinach, great for salads or cooking.",Rostock,Germany,shipped
159,02/19/2026,Blue Denim Jeans,159,159,"€93,49",Classic fit blue jeans with a slight stretch for comfort and durability.,Hamburg,Germany,returned
160,02/20/2026,Frozen Acai Bowl,160,160,"€122,21",Healthy frozen acai bowl with toppings.,Nürnberg,Germany,canceled
161,02/21/2025,Deluxe First Aid Kit,161,161,"€89,82",Comprehensive first aid kit for home and travel.,Ludwigshafen am Rhein,Germany,canceled
162,07/05/2025,Lemon Sorbet,162,162,"€52,46",Refreshing sorbet with a zesty lemon flavor.,Hannover,Germany,proceed
163,01/25/2026,Rolling Cooler,163,163,"€103,30",Wheeled cooler for transporting drinks and snacks.,Wiesbaden,Germany,proceed
164,02/05/2025,Organic Lentil Soup,164,164,"€116,78",A hearty soup made with organic lentils and vegetables.,München,Germany,proceed
165,11/07/2025,Portable Hand Warmer,165,165,"€84,82",Rechargeable hand warmer for cold weather comfort.,Leipzig,Germany,returned
166,04/26/2026,Beef Taco Skillet,166,166,"€123,94",A convenient meal kit for making a delicious beef taco skillet at home.,München,Germany,proceed
167,11/12/2025,Garden Tool Belt,167,167,"€138,71",Handy belt for carrying garden tools while working.,Hamburg Harvestehude,Germany,canceled
168,01/17/2026,Maple Cinnamon Almonds,168,168,"€80,28",Roasted almonds coated in a sweet maple and cinnamon mixture.,Leipzig,Germany,shipped
169,04/26/2025,Foot Massager Machine,169,169,"€36,37",Electric foot massager for relaxation and relief.,Mannheim,Germany,canceled
170,02/02/2026,Frozen Berry Medley,170,170,"€116,69","A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts.",Chemnitz,Germany,returned
171,03/23/2025,Vegetable Stock,171,171,"€144,77",Rich vegetable stock for cooking soups and stews.,Dortmund,Germany,shipped
172,01/30/2026,Marinara Sauce,172,172,"€124,94",Classic marinara sauce for all pasta dishes.,München,Germany,returned
173,02/14/2026,Emergency Preparedness Kit,173,173,"€70,65",Complete kit for emergency situations including food and water.,Augsburg,Germany,proceed
174,03/12/2025,Maple Chipotle Glaze,174,174,"€102,24",A sweet and spicy glaze that's perfect for grilling or marinades.,Hamburg,Germany,proceed
175,12/10/2025,Cinnamon Spiced Almonds,175,175,"€148,95",Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,Erfurt,Germany,canceled
176,02/16/2026,Jalapeño Cornbread,176,176,"€16,68",Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,Dresden,Germany,shipped
177,01/01/2026,Cacao Powder,177,177,"€110,76",Unsweetened cacao powder for baking and smoothies.,Wuppertal,Germany,proceed
178,12/31/2025,Peach Mango Smoothie Mix,178,178,"€129,11",A blend of peach and mango for a tropical smoothie.,München,Germany,canceled
179,03/01/2025,Sliced Bell Peppers,179,179,"€143,21",Fresh sliced bell peppers for salads or stir-fries.,Berlin,Germany,proceed
180,06/07/2025,Oversized Denim Shirt,180,180,"€63,38",A trendy oversized denim shirt perfect for layering.,Bremerhaven,Germany,shipped
181,01/10/2025,Yoga Mat,181,181,"€47,82",Non-slip yoga mat for optimal grip and comfort.,Düsseldorf,Germany,canceled
182,11/18/2025,Sesame Seeds,182,182,"€56,66",Crunchy seeds perfect for toppings and baking.,Bremen,Germany,returned
183,11/11/2025,Caramel Apple Chips,183,183,"€130,85",Crispy apple chips drizzled with caramel for a sweet treat.,Hamburg Sankt Pauli,Germany,proceed
184,03/03/2025,Lemon Garlic Marinade,184,184,"€112,60","A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",Dortmund,Germany,shipped
185,09/04/2025,Miso Soup Mix,185,185,"€110,57","Instant miso soup mix, just add hot water for a warm meal.",Wuppertal,Germany,proceed
186,12/13/2025,Pet Grooming Scissors,186,186,"€89,11",Quality scissors designed for easy pet grooming.,Berlin,Germany,canceled
187,07/20/2025,Denim Jacket,187,187,"€108,45",A classic denim jacket that never goes out of style.,München,Germany,proceed
188,03/10/2026,Basil Lemonade,188,188,"€13,99",Refreshing basil-infused lemonade for a cool drink.,Hamburg,Germany,proceed
189,03/22/2025,Digital Food Scale,189,189,"€15,75",Precision digital scale for accurate cooking measurements.,Dortmund,Germany,proceed
190,09/10/2025,Cauliflower Crust Pizza,190,190,"€81,13",A gluten-free pizza crust made from cauliflower.,Reutlingen,Germany,shipped
191,01/13/2025,Basil Tomato Soup,191,191,"€48,04","Rich tomato soup flavored with fresh basil, ready to heat up.",Berlin,Germany,canceled
192,07/03/2025,Glass Tea Pot,192,192,"€104,08",Elegant glass teapot for brewing loose tea.,München,Germany,shipped
193,04/07/2026,Incense Holder,193,193,"€48,52",Ceramic incense holder for a calming atmosphere.,München,Germany,returned
194,08/16/2025,Radish Chips,194,194,"€94,22","Crispy baked radish chips, a healthy snack alternative.",Neuss,Germany,proceed
195,09/23/2025,Voice-Controlled Speaker,195,195,"€18,80",Smart speaker with Alexa and music streaming features.,Hamburg,Germany,proceed
196,11/16/2025,Stainless Steel Travel Mug,196,196,"€121,79",Insulated mug to keep drinks hot on the go.,Mönchengladbach,Germany,canceled
197,03/01/2025,Stylish Wireless Earbuds,197,197,"€148,76",True wireless earbuds with excellent sound quality.,Berlin,Germany,proceed
198,01/20/2025,Organic Black Beans,198,198,"€81,29","Versatile canned black beans, ready to add to any dish.",Remscheid,Germany,canceled
199,01/14/2025,Printed Maxi Skirt,199,199,"€86,71",A colorful printed maxi skirt for a bohemian look.,Berlin,Germany,proceed
200,07/09/2025,Digital Wireless Meat Thermometer,200,200,"€29,32",Bluetooth thermometer that alerts you when your meat is done.,Reutlingen,Germany,returned
201,10/06/2025,Ceramic Planter Set,201,201,"€143,49",Set of decorative ceramic planters for indoor plants.,Duisburg,Germany,shipped
202,02/07/2026,Portable Bluetooth Headphones,202,202,"€84,28",Wireless headphones with noise-canceling features.,Offenbach,Germany,proceed
203,05/20/2026,Chocolate Coconut Granola,203,203,"€56,11","Crunchy granola with chocolate and coconut, great for breakfast or snacks.",Köln,Germany,canceled
204,05/04/2026,Italian Meatballs,204,204,"€123,97","Juicy meatballs made with a blend of beef and pork, seasoned with Italian herbs.",Gelsenkirchen,Germany,proceed
205,06/24/2025,Organic Baby Carrots,205,205,"€34,71",Fresh and crunchy baby carrots ready for snacking.,Dresden,Germany,returned
206,05/10/2025,Outdoor Adventure Backpack,206,206,"€92,58",Durable backpack for hiking or travel.,Halle,Germany,returned
207,07/30/2025,Aged White Cheddar Popcorn,207,207,"€136,58",Light and fluffy popcorn coated in aged white cheddar.,Braunschweig,Germany,proceed
208,03/27/2025,Honey Almond Granola Bars,208,208,"€83,67",Chewy granola bars made with honey and almonds.,Berlin,Germany,canceled
209,02/17/2025,Chocolate Protein Powder,209,209,"€36,12",Rich chocolate protein powder for smoothies and baking.,Aachen,Germany,shipped
